label,GDP Per Capita
2019,2099.59904810855
2018,2005.86300452403
2017,1981.6510498992
2016,1732.56426178428
2015,1605.60543355488
2014,1573.88149211052
2013,1449.6059123387
2012,1443.87952939042
2011,1458.10352686177
2010,1357.56371913262
2009,1101.96084002239
2008,998.522339019268
2007,1028.33477107667
2006,806.753280628799
2005,714.861013495661
2004,627.774247283919
2003,546.726614478728
2002,470.98678594916
2001,451.573001074356
2000,443.31419339174
1999,441.998759593395
1998,413.298934242221
1997,415.493796981777
1996,399.950076763934
1995,373.766480007829
1994,346.102950322606
1993,301.159004220577
1992,316.953927895311
1991,303.055605342701
1990,367.556609311203
1989,346.112887271625
1988,354.149251617083
1987,340.41683161231
1986,310.465935085896
1985,296.435151551022
1984,276.667958643143
1983,291.238110137317
1982,274.111331421581
1981,270.470602438399
1980,266.577848118397
1979,224.001016839808
1978,205.693386086224
1977,186.213501325277
1976,161.092091731697
1975,158.036171764282
1974,163.478111157501
1973,143.778688096538
1972,122.981863898262
1971,118.603242102118
1970,112.434493490322
1969,107.622317828827
1968,99.8759646011063
1967,96.3391366489315
1966,89.9973059630537
1965,119.318917211719
1964,115.537497020064
1963,101.126428181221
1962,89.8817566863598
1961,85.3543011749033
1960,82.1886020091056
